path_id	path	area	textual_hunks	parent_blob	audited_blob
P028	ggml/src/ggml-sycl/convert.hpp	production	1	2b1bebaa736eeb30046c5c38c48ab09bcefbdc77	87a3bca152c501a7e615786f431a3ef5be3615a5
P029	ggml/src/ggml-sycl/count-equal.cpp	production	12	30de9a7b66c782a0b85be7a3c159aa8e84b4908b	990e119c234ab6c028b2ed945df61d59b162ef94
P030	ggml/src/ggml-sycl/cpu-dispatch.cpp	production	334	18629c4f7ee9b097accb92c989256ceb2d78c5eb	b93df77520e43e4ca92195f05946746673743711
P031	ggml/src/ggml-sycl/cpu-expert-pool.cpp	production	10	70a0bfa6df69aa8d00e01b1c8f034785052de5c5	7eaf680c2e640cc9f433dae58fa9ede27e113b98
P032	ggml/src/ggml-sycl/cpu-expert-pool.hpp	production	9	4dafbf0ac41f1eb44e51d18ba625c4042afdf47c	bf308fe3a116018d18573e0ab602ed191ddc78b3
P033	ggml/src/ggml-sycl/cpy.cpp	production	74	4240a6f3d988077603fdaab5d965cee1abf7f8cc	e9ac73da226b37eb421c12bf86c767d1d0d599ec
P034	ggml/src/ggml-sycl/dense-scheduler.cpp	production	7	0aeb79624a366f4c6f8ac9b79058cd526be01717	ebe6a160b0efba68e6b3e3829547d4e827bd0e40
P035	ggml/src/ggml-sycl/dense-scheduler.hpp	production	2	ec5fad1706ce7519c8d5adcdf21bae5839da8053	f29accbee37d1baee28a5ee13a9c7378285e7256
P036	ggml/src/ggml-sycl/device-pool.hpp	production	35	c5ef08bec2afefb3ed863351c767cdbd4ce2f0cd	cefb83c9e9e7621f0baff0c860a21682f71d50c5
P037	ggml/src/ggml-sycl/dmmv.cpp	production	26	cfb2c5f16988eaa75f28a270139bb6f4355ce9ef	a94bbec92c10fb06779da6a1397116ec3e63e7ca
P038	ggml/src/ggml-sycl/docs/unified-memory-manager-design.md	documentation	10	f2e0d7a0ca39e6f71f14c466a3d70a35b5c84118	99325021a3aae24f0beb6897e923f404d17e48c6
P039	ggml/src/ggml-sycl/element_wise.cpp	production	8	b879c2033a5cc3f12b523c9fb6373843f398ade5	1f4178994cbd7d108c4003f9b8e99afe08d74472
P040	ggml/src/ggml-sycl/expert-prefetch.cpp	production	7	bec070f81911e53284a363805239e79865589874	8a1d0255d851456947aa23e9373e5b8d53cb75cd
P041	ggml/src/ggml-sycl/expert-prefetch.hpp	production	2	15240c10df90cdcc7b8eddc8df4885a8a3c1ce6a	1de4a5f64b2d020f14b0b066b8b9da16c789f2d1
P042	ggml/src/ggml-sycl/fattn-buffers.cpp	production	7	7551a035b46947d21ff25748409b1cc5f898594b	b29f503dd3e51d99861160b49015aaaf1f50b5fb
P043	ggml/src/ggml-sycl/fattn-buffers.hpp	production	8	c00461de620f18b94987fafb57219f2814a82c17	58fb4f3c5f0faea889c582d5399c44dc803b2252
P044	ggml/src/ggml-sycl/fattn-debug.hpp	production	11	4a24daca58ba8628cf0d645402332aa1e4b59994	5ad079c84bcaa076fc602cb09fb3a2ac8e2fdcc9
P045	ggml/src/ggml-sycl/fattn-onednn.cpp	production	40	52c5afb16a77f46abc7f2915ec52452987e8da40	48a5c0ef2d4d6a382d7563edc79efd8d1846dc82
P046	ggml/src/ggml-sycl/fattn-onednn.hpp	production	7	d2dcc6a3a0e9ef8e424605ab20dd4e240a85967d	cc00f4b2b95ced640e5c61aad4405e56e0dd873f
P047	ggml/src/ggml-sycl/fattn-xmx-f16-v2.hpp	production	2	e03dfa95ea9123b7919f490615e1b6b1df5cd88f	21af2b82bb053b23486c7456eb00cd62832c6ba1
P048	ggml/src/ggml-sycl/fattn.cpp	production	119	2830b1e8b0ba5130a571afdececd2c33fcd474ee	3266015109ba7baec0850ea677957ab2c4880aa6
P049	ggml/src/ggml-sycl/fattn.hpp	production	2	186cdb5dca0a1a64ed47b82b000f1ae5e6cb29c0	b7c61a3179ea1287e060ef028d657da5bd5afb32
P050	ggml/src/ggml-sycl/fused-moe-esimd.hpp	production	24	35bd00946fc654210f6e9191c72a37638f2c67a6	319565053364f0757a9c41318a3df03c1a712ca4
P051	ggml/src/ggml-sycl/gemm.hpp	production	84	18399b80490667f8c92ea764627922ac02abfb8e	59d961d19b2d10195c3900a07b13db340c900712
P052	ggml/src/ggml-sycl/getrows.cpp	production	50	b2054fc7019295e758e97fd506d1c5d7f37bbf18	ad1f192a608e622bff618cbf9b50b0d33c772817
P053	ggml/src/ggml-sycl/ggml-sycl-bench.hpp	production	6	29ffc6e05651e9cb154eb7a7c09fafd04a86b2c2	5ac8b211f6112484f9e0fc24110c0523884a93a6
P054	ggml/src/ggml-sycl/ggml-sycl.cpp	production	440	0493dcefe393785e713c1cc7505403f830081637	a62e62523bfb820b23a88c0f716c734e43830f1b
P055	ggml/src/ggml-sycl/gpu-sampler.hpp	production	230	83cdf77d7fd5234ed6488f43572e7f1990d4e868	fa82c43bc5ff608ffffa55b6cd01da6b3edab866
P056	ggml/src/ggml-sycl/kv-cache-manager.cpp	production	22	8428834ef2691a72da6125495244d664415a35f5	5ba08cf71db556c1499b82805c5b8a4f489a92d8
P057	ggml/src/ggml-sycl/kv-offload.cpp	production	64	85138bc9999ca3a367ecd984426ac059e0c278ad	855b3666a9bbf0e98db335065c5a00b747ab436a
P058	ggml/src/ggml-sycl/kv-offload.hpp	production	25	b91bbffbfffa418f471c7ff47346f2d8e67103e3	99244b3f2dd0f054261a3ea5954fdffec99f70bd
P059	ggml/src/ggml-sycl/layer-streaming.cpp	production	46	a271432a060b42c6390475d76c2adf5b12d4dc3b	05919572b26630f00e7e5cd6c48474f05379a226
P060	ggml/src/ggml-sycl/layer-streaming.hpp	production	10	4b380639f404975e873d0f235ef1ac5683ab21aa	88afca789c96fb039538fc0f7e9c234383a2d526
P061	ggml/src/ggml-sycl/mem-handle.cpp	production	25	4f5daca5c955306136432422c0fc275709b7645e	ff68953242bff5023074d4da34fadb12302bc696
P062	ggml/src/ggml-sycl/mem-handle.hpp	production	9	b984385ccc7d1ff5bad7c618ef310c5dc12109d5	6a473a7d2110a6924937377e5fdb3abcea976672
P063	ggml/src/ggml-sycl/mem-ops.cpp	production	17	87dcf8a7f8a9b8a9f598a4fd815d4c10561cba20	0f46c5c94be841055935dc482822964d1b78229a
P064	ggml/src/ggml-sycl/mem-ops.hpp	production	4	93fd63cedf37ad97fdff06ed8dcdcb96b6a97d69	6edffe4c865b88e001e3910f3905f8c5559a1d49
P065	ggml/src/ggml-sycl/mmq.cpp	production	40	b1eecca606a3c622c8b04820e75afc8b5100864c	eadbd0e26e053d7e83460b1f13c3a511e9b68b82
P066	ggml/src/ggml-sycl/mmq_xmx.cpp	production	46	ef40f081b34543bfc7552090fd96a70ed63a6873	20f91a6f131e5298d618b96c48055d595f5d146f
P067	ggml/src/ggml-sycl/mmvq-rmsnorm.hpp	production	9	9365bfea9ee8651a8f8d2767bdb6ede1053e640c	60a6117915ea86a7023f1fa0bbeca2ebbc12ef92
P068	ggml/src/ggml-sycl/mmvq.cpp	production	130	17aecea2ecfe2cdefbd4ec1125f4b47c9db7cc15	637130de6f43b3b6f041d9e1b3bad59005312ad3
P069	ggml/src/ggml-sycl/mmvq.hpp	production	2	8b14d5d7d7d03be698c4bd6ec98be9983cece9f2	3a79e8c907245efbba23679417b1695fa580de47
P070	ggml/src/ggml-sycl/moe-sort.hpp	production	26	3dd2e7f576105ac3a68f4840639182a06948c0ad	356c8ec1de8dca6264b79c64b604fc61bb5d5714
P071	ggml/src/ggml-sycl/norm.cpp	production	197	a3dfe100cd92f2308642e7a9cd82771c1470c398	5f11eed3a0cf69f4ce88a77c34917464263eb346
P072	ggml/src/ggml-sycl/persistent-tg-kernel.cpp	production	7	478b0e069482bc99063c7c0f97cd7985dcb6e5d3	b121b1567e0954e1de2504127727a819aca18225
P073	ggml/src/ggml-sycl/pinned-buffer-pool.cpp	production	9	203bb363237e0860685804a6bbd7fbb7cee00325	04a4e73191961d9c2be286d4e6ecbf03102ef365
P074	ggml/src/ggml-sycl/pinned-buffer-pool.hpp	production	4	6d7f30677a5b80d8fe78bacb74ba1ec613f6f884	1b6ea91524da530d1beeace62ee6e6ed767c3fd3
P075	ggml/src/ggml-sycl/pinned-pool.cpp	production	20	dabc8f9fa4ecd0349387cecf32edadbe59abd489	132f1574f02ea74f64f41f3956d3ca5a1f2cde80
P076	ggml/src/ggml-sycl/pinned-pool.hpp	production	9	73f4dc3ac3d0b8282d054f09ab45808ede03e598	cd80bb23f8e409dba475518dbed01265380cd9e3
P077	ggml/src/ggml-sycl/prefetch-scheduler.hpp	production	12	f3aa550d43a46a2a0c6e7b074c29863f48dc9004	7bc0e68ab650547925cd04b8f951eac7a280bbc3
P078	ggml/src/ggml-sycl/quantized-comm.hpp	production	48	e635769da2a88a9ab7e20eb6eccb35bfc400707a	17b88583ab95466fdf7bd4633a387fdec1664544
P079	ggml/src/ggml-sycl/roll.cpp	production	18	a6afaff23fd0e06ffcdf16b986e5bfd0666ddce9	1da557748b9a0c0fab8bdc86ad5aa8cdfe09ce97
P080	ggml/src/ggml-sycl/rope.cpp	production	61	14e896112197b4b7ed0bde1868174c15e2c57472	99505830d1936b597435a7111b0cc43abbd14a1a
P081	ggml/src/ggml-sycl/set_rows.cpp	production	17	d0ee84e083bb114ca6544bbee80e5d2c79a0ced1	2671f7950de912b28a8d1feb27c85e85aa4edb3b
P082	ggml/src/ggml-sycl/solve_tri.cpp	production	2	39326deee449a7fb21a372ee89afb7fc06ac0502	242bf9244206ee5b5a134956b3d6b798cd5ded6a
P083	ggml/src/ggml-sycl/tests/test-mem-handle-wrong-device.cpp	test	4	43c1fd2eba093658e71cee9eee27409131f4bf88	0aa532d496d58850fc7b93c7f6258a3e0acc74ac
P084	ggml/src/ggml-sycl/tests/test-mem-ops.cpp	test	2	5d4d687bf0887a3cdc0d403f5a9d8fd6f69d3159	a773e5e9b18b2ba083eedebe2f34b32cf216884d
P085	ggml/src/ggml-sycl/unified-cache-key.hpp	production	1	-	a63e05d0596dcff12ef4a7753f5ea5227e0caae5
P086	ggml/src/ggml-sycl/unified-cache.cpp	production	121	53070b0067d3531a79411751d2a469c7aec305be	57377c3f03c7c0d716f22a4bf3a3c9d02ecca117
P087	ggml/src/ggml-sycl/unified-cache.hpp	production	32	d74fb4db4eb17ad7bb7eaac56a4bf41daad4d648	82cdd2760f3386774f45290da01dabe1f892fb38
P088	ggml/src/ggml-sycl/unified-kernel.cpp	production	124	8c7f2b39484db4970921af3f6d2d0d436e15e781	a049469d0adc29c745ee8870bdab68448136a1f6
P089	ggml/src/ggml-sycl/unified-kernel.hpp	production	98	f4d2e634baa40b6c38041a4d244ea17354346472	778557eb95e8f0f94998c3c81de2a76f92fca907
P090	ggml/src/ggml-sycl/vecdotq.hpp	production	2	c23d741c8f48feb2b47e7b709464dd6393bcf5d4	6fa2de1f96d052d992aa1a9638d428d652bf63cd
P091	ggml/src/ggml-sycl/vram-pool.cpp	production	8	c175da46f872f1cb2aeb00459a8349814a58ca0f	4aa08034656369485f98be856ae7f299a957db1c
P092	ggml/src/ggml-sycl/vram-pool.hpp	production	3	068f41f5cce6d76c69e150fe68424f1a7f5bce82	2d676fdb3b4ddaef6b359e445d4495a19cf55181
P093	scripts/benchmark-sycl.sh	script	5	e0f23bfb18d2551736c840a00e03ed607f9d1b19	6e989dab449d712bfce60edb7240c50168ba27b1
P094	scripts/check-sycl-alloc-usage.sh	script	8	8585687514d16c3eb50e14e2304e9a057bb01cbb	14d0a2adacc8babab52b622ce5a9df60afc80f9a
P095	scripts/sycl-cpu-offload-bench-vtune.sh	script	1	ada85f419e1d5ed3cc489affdef8cd160c8bb67b	da47aeca7b2285eac5f988f31c7f62abd1cc3247
P096	scripts/sycl-dual-gpu-gptoss-gate.sh	script	4	242aea129829dfe806abad86d86726a299d06814	a7b8220eb40915b35bf0b811ec7d74f19d2c59b4
P097	scripts/sycl-gptoss-b50-utilization.sh	script	3	1af9907cbc7fabcd7c703a07b04b449541397c62	c44611ad0f9d49db747c8a9cb642c2ae618e8ab8
P098	scripts/sycl-gpu-preflight.sh	script	1	-	12d556624fd3e6e00bff64c7fe7eeda996210627
P099	scripts/sycl-moe-layout-compare.sh	script	4	f86cd34dc502a0f65c683268e40694cf4efa4cb4	316634cdd4a4796c5d74e245f1d4fb4059d9f614
P100	scripts/sycl-moe-regression-harness.sh	script	3	5ac55e032a48fdaea2ef76461d92872f41c41e0f	ee364e181064cf03900b4057f4107eb5af112cf7
P101	scripts/sycl-moe-roofline-harness.sh	script	3	c25ba7a5e3ff3128efd7b79e594427789b98ce42	f391427b56b1e345ebe5887bfff78026c371c0ac
P102	src/llama-context.cpp	production	8	61e23ee4f64d3d72d860075724d9411b6185613a	34ad8c26bbb88e67c1eba9498808f48d78a5372b
P103	src/llama-graph.cpp	production	5	6de028b1623163b5ef53a93c68636a6c6fa50915	a59a905ce84e2f5a46832e904c94322841906d45
P104	src/llama-model-loader.cpp	production	1	00ac7337bc6481ac20c0f4628b0c6f98442fce15	4c9031e284da46a7aea348955021b12d2b6749f8
P105	src/llama-model.cpp	production	214	3721051dc0e32ac5e1822361938b35ec72d0ced1	c02598f1ff032e2ec73ff34451ff635526e09f87
P106	src/llama-sampler.cpp	production	5	9bbc5dbde247c012f9004940a2cbd34e9b6ef288	d2f89c16fe071b46a80f1d19655dfe4e1152f75e
P107	tests/.gitignore	test	1	5f4bc6083e587b7d288604876b64dcf8c53f60bd	c589849a248f633d1053298bc7d655b05da8b28d
P108	tests/CMakeLists.txt	test	1	33ae3b303cfcbbd536d02fdadd6e2af986e527d4	c5d5780680c5072f19a30b82119dad6f9c5cb32d
P109	tests/TEST_IMPLEMENTATION_DETAILS.md	documentation	6	caf7f0b6bab442115179d94fe14949e0bc5755e1	ce9ac31cf9f7a7ab78a7a118668dbcacf60850b5
P110	tests/TEST_TILED_WEIGHT_LOADING_README.md	documentation	2	6eb31121051a5a667486060ee502a6d080c3179a	73489561603bad6813aad988816ec2958b4d1fae
P111	tests/sycl-alloc-policy-fixtures/bad-alloc/bad.cpp	test	1	-	0c41ee297c8f20b7f99daec6b5e9b7ce5a50b0a0
P112	tests/sycl-alloc-policy-fixtures/bad-allocate-managed-host-pinned-legacy/bad_allocate_managed_host_pinned_legacy.cpp	test	1	-	c5fd1ca2df7328714edbb671dceecffbe6cd1423
P113	tests/sycl-alloc-policy-fixtures/bad-backend-buffer-context-as-mem-handle/bad_backend_buffer_context_as_mem_handle.cpp	test	1	-	34ae26c77cc319a50317cbbea918740e36f538df
P114	tests/sycl-alloc-policy-fixtures/bad-backend-buffer-context-assign/bad_backend_buffer_context_assign.cpp	test	1	-	9cee01d4d8802d0ba09753f4bc56d549ac7da98e
P115	tests/sycl-alloc-policy-fixtures/bad-backend-buffer-context-lookup-free/bad_backend_buffer_context_lookup_free.cpp	test	1	-	62e0c2454e20c117ffbffac0946302c643d76a14
P116	tests/sycl-alloc-policy-fixtures/bad-backend-buffer-context-owner/bad_backend_buffer_context_owner.cpp	test	1	-	22d1c3e7ebac319f977429c908f11f7599681195
P117	tests/sycl-alloc-policy-fixtures/bad-backend-buffer-runtime-zone-reset/bad_backend_buffer_runtime_zone_reset.cpp	test	1	-	2f037c2d118b516df3b467ec2362d727975559f9
P118	tests/sycl-alloc-policy-fixtures/bad-backend-staging-legacy/bad_backend_staging_legacy.cpp	test	1	-	e7262941b90c68eb28771d606991499649e7eb37
P119	tests/sycl-alloc-policy-fixtures/bad-binbcast-raw-host-stage-scoped/bad_binbcast_raw_host_stage_scoped.cpp	test	1	-	7462b5e137a40ceadf95525d05c1dec09a61a7df
P120	tests/sycl-alloc-policy-fixtures/bad-cache-alloc/bad_cache_alloc.cpp	test	1	-	93cc43f9f3b983e8c5d7c3250fcd4e497671c7c8
P121	tests/sycl-alloc-policy-fixtures/bad-common-host-staging-scoped/bad_common_host_staging_scoped.cpp	test	1	-	9d5370dd804ce5a4a2ae4dfa3fc2a2dfd3221f8e
P122	tests/sycl-alloc-policy-fixtures/bad-compute-arena-legacy-owner/bad_compute_arena_legacy_owner.cpp	test	1	-	55f70b570f6d2514cd70dc81bc3fb5674dce5f5a
P123	tests/sycl-alloc-policy-fixtures/bad-compute-buffer-legacy/bad_compute_buffer_legacy.cpp	test	1	-	8fab8469da6d47975d5841184eef2399d58de1c0
P124	tests/sycl-alloc-policy-fixtures/bad-compute-buffer-manager-legacy-owner/bad_compute_buffer_manager_legacy_owner.cpp	test	1	-	feb46f7a1257e7a55eba27a4642284a2b2536870
P125	tests/sycl-alloc-policy-fixtures/bad-cont-batching-legacy-owner/bad_cont_batching_legacy_owner.cpp	test	1	-	8eb29e6443f1db462adc86a750334660de38eea6
P126	tests/sycl-alloc-policy-fixtures/bad-control-host-legacy/bad_control_host_legacy.cpp	test	1	-	662956342c53f8dfdb47c1efd901fc1e3480bd88
P127	tests/sycl-alloc-policy-fixtures/bad-convert-device-scratch-legacy-owner/bad_convert_device_scratch_legacy_owner.cpp	test	1	-	84e26e15540802f18c398fdd8ae19d8f71ff7593
P128	tests/sycl-alloc-policy-fixtures/bad-copy/bad_copy.cpp	test	1	-	8b30638ca2259615f556a74337ce0fa1308b4536
P129	tests/sycl-alloc-policy-fixtures/bad-cpu-dispatch-expert-group-pointer/bad_cpu_dispatch_expert_group_pointer.cpp	test	1	-	1821b76bd01733213b823c654e54e997085234f1
P130	tests/sycl-alloc-policy-fixtures/bad-cpu-dispatch-host-copy-legacy-owner/bad_cpu_dispatch_host_copy_legacy_owner.cpp	test	1	-	3d8d0e9643057f6910a9d1db6caac70416890552
P131	tests/sycl-alloc-policy-fixtures/bad-cpu-dispatch-host-copy-legacy/bad_cpu_dispatch_host_copy_legacy.cpp	test	1	-	00e5185bd55109ca4e954b43b8b7744dc2f0cfeb
P132	tests/sycl-alloc-policy-fixtures/bad-cpu-dispatch-host-ptr-split-registry-legacy/bad_cpu_dispatch_host_ptr_split_registry_legacy.cpp	test	1	-	b9942fb19297a7a973fb96513b4cb28566e71250
P133	tests/sycl-alloc-policy-fixtures/bad-cpu-expert-pool-legacy-owner/bad_cpu_expert_pool_legacy_owner.cpp	test	1	-	5579efa7a2b5843d51423d84e965697617527969
P134	tests/sycl-alloc-policy-fixtures/bad-cpu-expert-pool-legacy/bad_cpu_expert_pool_legacy.cpp	test	1	-	5321f10cf563dfba9472f9b6200908dffb35c432
P135	tests/sycl-alloc-policy-fixtures/bad-cpu-fallback-host-copy-legacy/bad_cpu_fallback_host_copy_legacy.cpp	test	1	-	625ba82d2a25e08c3a21d8e13cf01cce15d49e33
P136	tests/sycl-alloc-policy-fixtures/bad-cpy-host-stage-legacy-owner/bad_cpy_host_stage_legacy_owner.cpp	test	1	-	55662d440ec1bd7c4595455bb661817ef0b75ac1
P137	tests/sycl-alloc-policy-fixtures/bad-dealloc/bad_dealloc.cpp	test	1	-	fd306db52c3185333cdea5bb47a025a7a0d5c137
P138	tests/sycl-alloc-policy-fixtures/bad-dense-scheduler-slot-legacy-owner/bad_dense_scheduler_slot_legacy_owner.cpp	test	1	-	11b28dcb1cd7f7d63fef9b4c5b9af7d4996af9ab
P139	tests/sycl-alloc-policy-fixtures/bad-dev1-kv-cache-legacy/bad_dev1_kv_cache_legacy.cpp	test	1	-	917e463684f1b395d5c8c2e456fac27834fa2bd5
P140	tests/sycl-alloc-policy-fixtures/bad-device-wrapper-alloc/bad_device_wrapper_alloc.cpp	test	1	-	d9c65afb55281eeeb5ae998e6f9ca542efb5f645
P141	tests/sycl-alloc-policy-fixtures/bad-direct-alloc-owner-legacy/bad_direct_alloc_owner_legacy.cpp	test	1	-	5431b1b1a808433bb5683aea9cc9bbbd64c4d3e1
P142	tests/sycl-alloc-policy-fixtures/bad-dmmv-stage-scratch-legacy-owner/bad_dmmv_stage_scratch_legacy_owner.cpp	test	1	-	746e29241a12bca12a0f7c10f042d2da690aaf91
P143	tests/sycl-alloc-policy-fixtures/bad-expert-prefetch-legacy/bad_expert_prefetch_legacy.cpp	test	1	-	f18e614251c9ada7e9509f7004b5f3dd55e839cd
P144	tests/sycl-alloc-policy-fixtures/bad-fattn-buffers-kv-legacy-owner/bad_fattn_buffers_kv_legacy_owner.cpp	test	1	-	829fafdbcbad198a624ed7614ddedfe5d2848674
P145	tests/sycl-alloc-policy-fixtures/bad-fattn-onednn-materialized-raw-release/bad_fattn_onednn_materialized_raw_release.cpp	test	1	-	97d3d78f02a0d92fa00db8fc3ab633c51ce6a502
P146	tests/sycl-alloc-policy-fixtures/bad-fattn-onednn-materialized-scoped-alloc/bad_fattn_onednn_materialized_scoped_alloc.cpp	test	1	-	f18ddde7aebfdef90353f10fdb2d2d179708d6de
P147	tests/sycl-alloc-policy-fixtures/bad-fattn-packed-k-legacy/bad_fattn_packed_k_legacy.cpp	test	1	-	695822eb5c67bf162884e16fda2978c90ce007f8
P148	tests/sycl-alloc-policy-fixtures/bad-fattn-split-legacy/bad_fattn_split_legacy.cpp	test	1	-	5d4c2f5328bc2b243ac684be30822d3a571117e9
P149	tests/sycl-alloc-policy-fixtures/bad-ffn-norm-legacy/bad_ffn_norm_legacy.cpp	test	1	-	435ee20ab7c7168a32458d6ce1e3c05ba00ca208
P150	tests/sycl-alloc-policy-fixtures/bad-fill/bad_fill.cpp	test	1	-	0c973bbbf69672a73ae6b656308af8be72830626
P151	tests/sycl-alloc-policy-fixtures/bad-fp16-cache-legacy/bad_fp16_cache_legacy.cpp	test	1	-	4575a01cb6c270f7e2ce657f5f2fa721d62ccc05
P152	tests/sycl-alloc-policy-fixtures/bad-free-ptr/bad_free_ptr.cpp	test	1	-	d8eed5859d0d3bc939f7fd68b86f544b55d54778
P153	tests/sycl-alloc-policy-fixtures/bad-generic-owned-alloc-handoff/bad_generic_owned_alloc_handoff.cpp	test	1	-	5ac5e1861a710ec62c5a1ef5e0fb7717686fa7f6
P154	tests/sycl-alloc-policy-fixtures/bad-get-rows-host-stage-scoped/bad_get_rows_host_stage_scoped.cpp	test	1	-	f17f6f14d7f97b58373b0e3e0fee1ddb0798da48
P155	tests/sycl-alloc-policy-fixtures/bad-get-rows-stage-legacy-owner/bad_get_rows_stage_legacy_owner.cpp	test	1	-	8fb49dcc2c08e7ddd3882f69906578f00848ecdd
P156	tests/sycl-alloc-policy-fixtures/bad-ggml-sycl-cpp-scoped-unified-alloc/bad_ggml_sycl_cpp_scoped_unified_alloc.cpp	test	1	-	e895c0aa2556909db06203a7a51e2a134e8413fc
P157	tests/sycl-alloc-policy-fixtures/bad-gpu-reorder-temp-legacy/bad_gpu_reorder_temp_legacy.cpp	test	1	-	82b43754b552cd86d0766b598468ee141dc95100
P158	tests/sycl-alloc-policy-fixtures/bad-gpu-sampler-legacy-owner/bad_gpu_sampler_legacy_owner.cpp	test	1	-	54751ac4ad06497036405f3ee0d6c6018ffc8b82
P159	tests/sycl-alloc-policy-fixtures/bad-graph-input-discovery-pointer-dedupe/bad_graph_input_discovery_pointer_dedupe.cpp	test	1	-	41b1b771378b89b784c853cc0741738d9c48a384
P160	tests/sycl-alloc-policy-fixtures/bad-graph-prestage-pointer-dedupe/bad_graph_prestage_pointer_dedupe.cpp	test	1	-	846660590f309ad00efb1ef93def0df902b87a47
